["may", "one"]	[0.91273821464393179, 0.95437860513896167, 0.93355840989144667]
["one", "time"]	[0.9035175879396985, 0.94931362196409719, 0.9264156049518979]
["one", "well"]	[0.87374749498997994, 0.93262032085561497, 0.90318390792279746]
["angeles", "los"]	[0.86956521739130432, 0.93023255813953487, 0.8998988877654196]
["one", "would"]	[0.86559679037111337, 0.92795698924731185, 0.89677688980921255]
["first", "one"]	[0.85311871227364189, 0.92073832790445165, 0.88692852008904677]
["may", "well"]	[0.83995922528032618, 0.91301939058171744, 0.87648930793102187]
["may", "time"]	[0.83634538152610438, 0.91088026243849096, 0.87361282198229762]
["may", "would"]	[0.82976554536187563, 0.90696378830083568, 0.8683646668313556]
["time", "would"]	[0.82956878850102667, 0.90684624017957349, 0.86820751434030008]
["one", "upon"]	[0.81224899598393574, 0.89639889196675904, 0.85432394397534739]
["time", "well"]	[0.8101010101010101, 0.8950892857142857, 0.8525951479076479]
["first", "time"]	[0.8092307692307692, 0.89455782312925169, 0.85189429618001045]
["one", "part"]	[0.80761523046092187, 0.89356984478935697, 0.85059253762513942]
["made", "one"]	[0.79355488418932529, 0.88489612577203813, 0.83922550498068171]
["well", "would"]	[0.79022403258655805, 0.88282138794084186, 0.83652271026369995]
["first", "may"]	[0.78772635814889336, 0.88126055149127747, 0.83449345482008541]
["great", "one"]	[0.7869346733668342, 0.88076490438695165, 0.83384978887689298]
["new", "one"]	[0.77945619335347427, 0.87606112054329377, 0.82775865694838402]
["could", "would"]	[0.77861771058315332, 0.87553126897389189, 0.8270744897785226]
["first", "would"]	[0.77800616649537513, 0.87514450867052018, 0.82657533758294766]
["may", "upon"]	[0.7737003058103975, 0.87241379310344824, 0.82305704945692293]
["one", "two"]	[0.7730923694779116, 0.87202718006795021, 0.82255977477293096]
["first", "well"]	[0.77189409368635442, 0.87126436781609196, 0.82157923075122319]
["one", "way"]	[0.7698492462311558, 0.86996024985803522, 0.81990474804459557]
["also", "one"]	[0.76853707414829664, 0.86912181303116143, 0.81882944358972898]
["could", "one"]	[0.76606425702811243, 0.86753837407617962, 0.81680131555214608]
["part", "time"]	[0.76302349336057196, 0.86558516801854002, 0.81430433068955599]
["may", "part"]	[0.76012145748987858, 0.86371477860839563, 0.81191811804913705]
["must", "one"]	[0.75951903807615229, 0.86332574031890663, 0.8114223891975294]
["great", "time"]	[0.7580144777662875, 0.86235294117647054, 0.81018370947137908]
["may", "must"]	[0.75779625779625781, 0.86221170904790068, 0.81000398342207924]
["time", "upon"]	[0.75686673448626651, 0.86160972785176604, 0.80923823116901628]
["made", "may"]	[0.75639713408393039, 0.86130536130536128, 0.80885124769464589]
["part", "well"]	[0.75283213182286302, 0.85898942420681557, 0.80591077801483935]
["made", "would"]	[0.751311647429171, 0.8579988016776513, 0.8046552245534111]
["upon", "would"]	[0.75077559462254395, 0.85764914353219135, 0.80421236907736771]
["also", "may"]	[0.75077239958805353, 0.85764705882352943, 0.80420972920579148]
["made", "time"]	[0.7466666666666667, 0.85496183206106868, 0.80081424936386769]
["new", "time"]	[0.74663908996897621, 0.85494375370041442, 0.80079142183469532]
["great", "would"]	[0.7445026178010471, 0.85354141656662663, 0.79902201718383692]
["upon", "well"]	[0.74309109518935512, 0.85261303581914272, 0.79785206550424892]
["time", "way"]	[0.73863636363636365, 0.84967320261437906, 0.79415478312537136]
["could", "time"]	[0.73836608066184073, 0.84949434860202255, 0.79393021463193159]
["great", "may"]	[0.73732251521298176, 0.84880326911850557, 0.79306289216574366]
["could", "may"]	[0.73565573770491799, 0.84769775678866588, 0.79167674724679193]
["may", "way"]	[0.7341513292433538, 0.84669811320754718, 0.79042472122545049]
